Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 8519680, 32, 16, 520, 14.1893, 6.9538, N/A, 1.05748, 1.0559, 0.166759, 20.1759, 4, 2, 1, 1, 16, 1, 28.5324, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8519680, 32, 16, 520, 14.8, 23.4261, N/A, 0.976981, 0.954865, 0.160606, 12.3008, 2, 2, 1, 1, 16, 2, 46.8127, 4, 4, 1, 1, 2, 1, 64.3443, 
