Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 14.5407, 22.773, N/A, 0.948954, 0.927322, 0.157622, 12.0429, 2, 2, 1, 1, 16, 2, 47.1227, 4, 4, 1, 1, 2, 1, 64.3443, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.798782, 0.78491, 128.02, 12.0804, 2, 2, 1, 1, 16, 2, 46.8863, 4, 2, 1, 1, 2, 1, 70.9548, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
22, 8388608, 32, 16, 512, 7.92447, 18.8333, N/A, 0.797433, 0.773017, 132.657, 12.1042, 2, 2, 1, 1, 16, 2, 46.8863, 4, 4, 1, 1, 2, 1, 63.847, 
